date measurement;celsius;humidity;moisture
2020-09-06_20:17:40;27.0;58.4;667
2020-09-06_20:37:40;26.9;67.4;672
2020-09-06_20:57:40;27.0;62.2;718
2020-09-06_21:17:41;26.6;66.5;713
2020-09-06_21:37:41;27.0;58.8;673
2020-09-06_21:57:41;26.9;62.3;716
2020-09-06_22:17:41;27.0;63.5;712
2020-09-06_22:37:41;27.2;57.5;702
2020-09-06_22:57:42;26.8;66.9;705
2020-09-06_23:17:42;27.0;54.4;702
2020-09-06_23:37:42;26.3;47;707
2020-09-06_23:57:42;27.3;46;718
2020-09-07_00:17:42;26.4;64.7;709
2020-09-07_00:37:43;26.5;39.9;695
2020-09-07_00:57:43;26.3;60.4;711
2020-09-07_01:17:43;26.3;45.8;716
2020-09-07_01:37:43;26.4;45.4;698
2020-09-07_01:57:43;25.7;60.1;674
2020-09-07_02:17:44;26.4;52.2;716
2020-09-07_02:37:44;24.8;50.2;715
2020-09-07_02:57:44;26.4;53.6;700
2020-09-07_03:17:44;26.3;63.6;713
2020-09-07_03:37:44;26.2;54.1;705
2020-09-07_03:57:45;26.1;63.5;683
2020-09-07_04:17:45;25.5;36.1;693
2020-09-07_04:37:45;26.9;56.4;696
2020-09-07_04:57:45;26.5;67.4;713
2020-09-07_05:17:45;26.3;43.7;716
2020-09-07_05:37:46;26.4;48.2;701
2020-09-07_05:57:46;26.3;48.6;701
2020-09-07_06:17:46;26.2;67.1;677
2020-09-07_06:37:46;26.2;53.1;714
2020-09-07_06:57:46;25.5;45.2;682
2020-09-07_07:17:47;26.2;49.4;676
2020-09-07_07:37:47;26.5;55.8;673
2020-09-07_07:57:47;26.2;49;697
2020-09-07_08:17:47;26.2;55.9;715
2020-09-07_08:37:47;26.3;58.3;711
2020-09-07_08:57:48;26.4;59.2;709
2020-09-07_09:17:48;26.4;45.5;682
2020-09-07_09:37:48;26.6;57.7;676
2020-09-07_09:57:48;26.4;57.3;681
2020-09-07_10:17:48;26.6;58;676
2020-09-07_10:37:49;26.8;54.1;693
2020-09-07_10:57:49;26.7;62.6;712
2020-09-07_11:17:49;26.6;49.2;698
2020-09-07_11:37:49;26.7;41.5;689
2020-09-07_11:57:49;27.2;52;677
2020-09-07_12:17:50;26.8;54.3;702
2020-09-07_12:37:50;27.4;54;672
2020-09-07_12:57:50;26.8;67.7;687
2020-09-07_13:17:50;26.7;60;680
2020-09-07_13:37:50;27.0;58;710
2020-09-07_13:57:51;26.9;58.4;678
2020-09-07_14:17:51;26.9;58.1;682
2020-09-07_14:37:51;27.1;56.8;683
2020-09-07_14:57:51;27.1;54.5;670
2020-09-07_15:17:51;27.3;63.1;722
2020-09-07_15:37:52;27.6;58.7;693
2020-09-07_15:57:52;27.6;60.4;697
2020-09-07_16:17:52;27.7;56.8;673
2020-09-07_16:37:52;27.6;48.9;708
2020-09-07_16:57:52;27.2;49.8;690
2020-09-07_17:17:53;27.7;55.3;718
2020-09-07_17:37:53;27.8;42.4;700
2020-09-07_17:57:53;27.9;41.6;643
2020-09-07_18:17:53;27.7;38.2;672
2020-09-07_18:37:53;28.0;43.1;680
2020-09-07_18:57:54;28.1;43.9;712
2020-09-07_19:17:54;27.3;39.6;711
2020-09-07_19:37:54;27.4;37.8;716
2020-09-07_19:57:54;27.0;39.3;711
2020-09-07_20:17:54;27.8;38.3;704
2020-09-07_20:37:55;26.7;38;684
2020-09-07_20:57:55;26.5;38.5;693
2020-09-07_21:17:55;26.3;37.7;712
2020-09-07_21:37:55;26.3;34.8;707
2020-09-07_21:57:55;26.1;48;704
2020-09-07_22:17:56;25.9;53.7;672
2020-09-07_22:37:56;26.0;57.5;681
2020-09-07_22:57:56;26.1;65.7;688
2020-09-07_23:17:56;26.3;54.3;707
2020-09-07_23:37:56;26.4;42.9;682
2020-09-07_23:57:57;26.2;49.9;680
2020-09-08_00:17:57;26.3;57.7;676
2020-09-08_00:37:57;25.9;54.2;675
2020-09-08_00:57:57;25.7;53.6;683
2020-09-08_01:17:57;26.2;53.5;713
2020-09-08_01:37:58;26.1;51.3;680
2020-09-08_01:57:58;26.3;55.4;681
2020-09-08_02:17:58;25.9;39.4;677
2020-09-08_02:37:58;26.2;50.7;719
2020-09-08_02:57:58;25.2;54.1;682
2020-09-08_03:17:59;25.8;52.4;676
2020-09-08_03:37:59;26.1;54;714
2020-09-08_03:57:59;25.5;55.9;715
2020-09-08_04:17:59;25.9;53.1;701
2020-09-08_04:37:59;25.8;55.1;675
2020-09-08_04:57:59;25.2;53.4;713
2020-09-08_05:18:00;25.6;58;711
2020-09-08_05:38:00;25.6;57.7;685
2020-09-08_05:58:00;26.1;53.1;698
2020-09-08_06:18:00;25.5;49.4;713
2020-09-08_06:38:01;25.6;57.2;712
2020-09-08_06:58:01;26.3;54;713
2020-09-08_07:18:01;26.0;62.3;681
2020-09-08_07:38:01;25.6;52;714
2020-09-08_07:58:01;25.5;53.2;683
2020-09-08_08:18:02;25.4;53.9;700
2020-09-08_08:38:02;25.8;48.4;688
2020-09-08_08:58:02;26.0;51;671
2020-09-08_09:18:02;24.7;51;671
2020-09-08_09:38:02;26.1;48.9;698
2020-09-08_09:58:03;25.8;43.8;718
2020-09-08_10:18:03;25.8;47.6;711
2020-09-08_10:38:03;25.9;47.9;675
2020-09-08_10:58:03;28.3;44.7;709
2020-09-08_11:18:03;26.0;56.6;679
2020-09-08_11:38:04;26.1;63.2;719
2020-09-08_11:58:04;26.3;58.5;679
2020-09-08_12:18:04;27.2;52.5;701
2020-09-08_12:38:04;26.7;52.9;717
